typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,19880101,1988,52,1988,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,33025740133.0,33025740133.0,0,False,False
C,A,19880101,1988,52,1988,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,32205394052.0,32205394052.0,0,False,False
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,20920432640.0,,20920432640.0,0,False,False
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,21662210048.0,21662210048.0,0,False,False
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,,True,,False,,False,250293231000.0,,250293231000.0,0,False,False
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,,True,,False,,False,,323196113000.0,323196113000.0,0,False,False
C,A,19880101,1988,52,1988,300,GRC,Greece,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,12254952448.0,,12254952448.0,0,False,False
C,A,19880101,1988,52,1988,300,GRC,Greece,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,5430287360.0,5430287360.0,0,False,False
C,A,19880101,1988,52,1988,332,HTI,Haiti,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,180056160.0,180056160.0,0,False,False
C,A,19880101,1988,52,1988,352,ISL,Iceland,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,1666559616.0,,1666559616.0,0,False,False
