country,year,ILO
ABW,2010,6.738
AFG,2021,1463.372
AFG,2020,1090.912
AFG,2017,1122.933
AFG,2014,1389.95
AGO,2022,813.873
AGO,2021,625.641
AGO,2019,688.092
AGO,2014,330.004
AGO,2011,540.716
AGO,2009,432.43
AGO,2004,406.676
ALB,2023,279.175
ALB,2022,283.606
ALB,2021,273.293
ALB,2020,254.541
ALB,2019,254.839
ALB,2018,242.666
ALB,2017,230.968
ALB,2016,222.997
ALB,2015,201.484
ALB,2014,180.857
ALB,2013,172.182
ALB,2012,195.749
ALB,2010,240.369
ALB,2009,231.413
ALB,2008,199.625
ALB,2007,220.571
ARE,2023,2615.63
ARE,2022,2141.986
ARE,2021,2121.98
ARE,2020,1898.134
ARE,2019,2127.975
ARE,2018,2497.813
ARE,2017,1147.184
ARG,2023,2964.836
ARG,2022,2811.608
ARG,2021,2613.042
ARG,2020,2408.471
ARG,2019,2599.87
ARG,2018,2541.517
ARG,2017,2554.962
ARG,2014,2639.317
ARG,2013,2587.648
ARG,2012,2534.517
ARG,2011,2555.295
ARG,2010,2444.524
ARG,2009,2400.055
ARG,2008,2455.267
ARG,2006,2345.308
ARG,2005,2211.34
ARG,2004,2095.11
ARM,2017,169.045
ARM,2016,158.816
ARM,2015,170.663
ARM,2014,189.624
ARM,2008,224.83
AUS,2024,2785.407
AUS,2023,2775.905
AUS,2022,2625.233
AUS,2021,2550.495
AUS,2020,2501.435
AUS,2019,2535.654
AUS,2018,2572.834
AUS,2017,2456.136
AUS,2016,2395.378
AUS,2015,2365.772
AUS,2014,2422.363
AUS,2013,2410.082
AUS,2012,2430.991
AUS,2011,2406.898
AUS,2010,2388.86
AUS,2009,2352.948
AUS,2008,2395.747
AUS,2007,2279.953
AUS,2006,2219.156
AUS,2005,2147.597
AUS,2004,2091.796
AUS,2003,1909.688
AUS,2002,2022.966
AUS,2001,1823.674
AUT,2023,1153.076
AUT,2022,1171.252
AUT,2021,1103.483
AUT,2020,1072.991
AUT,2019,1104.243
AUT,2018,1098.562
AUT,2017,1061.792
AUT,2016,1078.803
AUT,2015,1068.772
AUT,2014,1059.069
AUT,2013,1063.46
AUT,2012,1065.265
AUT,2011,1054.699
AUT,2010,992.968
AUT,2009,985.104
AUT,2008,1038.952
AUT,2007,1072.117
AUT,2006,1077.487
AUT,2005,1033.375
AUT,2004,1019.16
AUT,2003,1083.127
AUT,2002,1058.517
AUT,2001,1085.493
AUT,2000,1105.973
BDI,2020,152.734
BEL,2023,1013.152
BEL,2022,1021.05
BEL,2021,958.926
BEL,2020,993.812
BEL,2019,1020.67
BEL,2018,994.893
BEL,2017,981.994
BEL,2016,975.274
BEL,2015,975.599
BEL,2014,972.004
BEL,2013,983.236
BEL,2012,984.229
BEL,2011,1047.671
BEL,2010,1049.239
BEL,2009,1037.7
BEL,2008,1096.913
BEL,2007,1069.773
