country,year,Export,Import,ILO
ABW,2010,124523218.0,1071033527.0,6.738
AFG,2014,570534007.0,7697178170.0,1389.95
AFG,2017,831926771.77,7792600111.74,1122.933
AGO,2004,13253676784.371,5072075923.756,406.676
AGO,2009,40639411732.0,23918854361.0,432.43
AGO,2011,66427390220.0,20790996039.0,540.716
AGO,2014,58672369190.0,28753499329.0,330.004
AGO,2019,35432454858.832,13961640425.765,688.092
AGO,2021,34472161956.832,11378927920.701,625.641
AGO,2022,51274951711.647,17802935241.948,813.873
ALB,2007,1077690359.0,4200864046.0,220.571
ALB,2008,1354921653.0,5250490022.0,199.625
ALB,2009,1087914902.0,4548287875.0,231.413
ALB,2010,1549955724.0,4602774967.0,240.369
ALB,2012,1967918947.0,4879829648.0,195.749
ALB,2013,2331521928.0,4880593254.0,172.182
ALB,2014,2430723644.0,5229972238.0,180.857
ALB,2015,1929657032.0,4320219367.0,201.484
ALB,2016,1962117416.0,4669289913.0,222.997
ALB,2017,2301340965.67,5293901931.205,230.968
ALB,2018,2875859778.765,5941286949.487,242.666
ALB,2019,2719428708.042,5908003380.108,254.839
ALB,2020,2415632335.419,5410943446.851,254.541
ALB,2021,3562297235.872,7734905145.339,273.293
ALB,2022,4306234747.242,8407345270.407,283.606
ALB,2023,4374857212.456,8668927602.553,279.175
ARE,2017,313599362102.95,257733259747.664,1147.184
ARE,2018,387964272061.879,244687551962.78,2497.813
ARE,2019,389427993903.956,288446698975.132,2127.975
ARE,2020,335296907869.73,246961070632.623,1898.134
ARE,2021,425159796503.562,347528997702.207,2121.98
ARE,2022,515621189049.101,420493197887.132,2141.986
ARE,2023,570245383584.532,470536019784.564,2615.63
ARG,2004,34575705522.0,22445246576.0,2095.11
ARG,2005,40106386092.0,28688637653.0,2211.34
ARG,2006,46546224081.0,34153541756.0,2345.308
ARG,2008,70018850811.0,57461774372.0,2455.267
ARG,2009,55672118600.0,38786161790.0,2400.055
ARG,2010,68174446579.0,56792378207.0,2444.524
ARG,2011,82981091282.0,73960656100.0,2555.295
ARG,2012,79982379582.0,67973971893.0,2534.517
ARG,2013,75962981361.0,74441745276.0,2587.648
ARG,2014,68404346618.25,65735987757.05,2639.317
ARG,2017,58384194969.28,66899299586.97,2554.962
ARG,2018,61559407361.54,65440966165.64,2541.517
ARG,2019,65115326623.66,49125029975.95,2599.87
ARG,2020,54883822445.7,42355505399.72,2408.471
ARG,2021,77934314986.58,63183637614.17,2613.042
ARG,2022,88445718838.32,81522681076.03,2811.608
ARG,2023,66788515986.35,73713612595.47,2964.836
ARM,2008,1055012744.0,4101217006.0,224.83
ARM,2014,1490190146.0,4159517448.0,189.624
ARM,2015,1482667349.0,3256964792.0,170.663
ARM,2016,1807789510.0,3218457706.0,158.816
