country,year,Export,Import
ABW,2000,172999090.0,835229439.0
ABW,2001,148856140.0,836234454.0
ABW,2002,128258862.0,842875655.0
ABW,2003,82190500.0,846620627.0
ABW,2004,79682025.0,876171743.0
ABW,2005,106204900.0,1030046306.0
ABW,2006,108964805.0,1041334001.0
ABW,2007,97892753.0,1113876882.0
ABW,2008,100869319.0,1112619693.0
ABW,2009,135747078.0,1149199674.0
ABW,2010,124523218.0,1071033527.0
ABW,2011,151359633.0,1284948780.0
ABW,2012,173060835.0,1259804184.0
ABW,2013,167761270.0,1303316843.0
ABW,2014,116214260.0,1284149421.0
ABW,2015,79882205.0,1165014285.0
ABW,2016,95396491.22,1117122531.19
ABW,2017,88833337.381,1194930129.701
ABW,2018,69470374.313,1255956119.625
ABW,2019,78642939.383,1313806452.372
ABW,2020,65929725.265,939368007.599
ABW,2021,88347007.693,1169773934.344
ABW,2022,104796786.791,1473238002.652
ABW,2023,111004913.519,1536519564.793
AFG,2008,540065594.0,3019860129.0
AFG,2009,403441006.0,3336434781.0
AFG,2010,388483635.0,5154249867.0
AFG,2011,375850935.0,6390310947.0
AFG,2012,428902710.0,6204984101.0
AFG,2013,514972983.0,8554413749.0
AFG,2014,570534007.0,7697178170.0
AFG,2015,571404967.0,7722865049.0
AFG,2016,596455337.0,6534140413.0
AFG,2017,831926771.77,7792600111.74
AFG,2018,884504496.37,7406590324.75
AFG,2019,870488512.46,8568013876.87
AGO,2004,13253676784.371,5072075923.756
AGO,2005,23668205179.913,7908231278.558
AGO,2006,31844185776.488,10598146741.371
AGO,2007,44177783071.0,11094843413.0
AGO,2008,65772699298.792,23926307915.805
AGO,2009,40639411732.0,23918854361.0
AGO,2010,52612114761.0,18143268908.0
AGO,2011,66427390220.0,20790996039.0
AGO,2012,70863076413.0,28722984064.0
AGO,2013,67712526547.0,26756062991.0
AGO,2014,58672369190.0,28753499329.0
AGO,2015,33924937478.31,21549256530.51
AGO,2016,28057499522.39,14347710497.8
AGO,2017,34904881109.37,15462313478.23
AGO,2018,40664718814.96,16006910579.064
AGO,2019,35432454858.832,13961640425.765
AGO,2020,22134505473.377,9337925708.641
AGO,2021,34472161956.832,11378927920.701
AGO,2022,51274951711.647,17802935241.948
AGO,2023,39505783208.732,15695872014.241
AIA,2000,4001297.0,94514171.0
AIA,2001,3200931.0,77704660.0
AIA,2002,4344499.0,69893421.0
AIA,2003,4238995.0,76776651.0
AIA,2004,5748088.0,102438551.0
AIA,2006,12237708.0,174899062.0
AIA,2007,9185300.0,247904776.0
AIA,2008,11474540.0,271744400.0
ALB,1996,211140400.0,938481792.0
ALB,1997,137681008.0,629026304.0
ALB,1998,207653802.0,841256184.0
ALB,1999,351097824.0,1154351169.0
ALB,2000,261475781.0,1089467879.0
ALB,2001,304930699.0,1330631066.0
ALB,2002,330241497.0,1503685206.0
ALB,2003,447220546.0,1864328860.0
ALB,2004,602653356.0,2300168341.0
ALB,2005,658233171.0,2614347012.0
ALB,2006,792629671.0,3057408426.0
ALB,2007,1077690359.0,4200864046.0
ALB,2008,1354921653.0,5250490022.0
ALB,2009,1087914902.0,4548287875.0
ALB,2010,1549955724.0,4602774967.0
ALB,2011,1948207305.0,5395853069.0
ALB,2012,1967918947.0,4879829648.0
ALB,2013,2331521928.0,4880593254.0
ALB,2014,2430723644.0,5229972238.0
ALB,2015,1929657032.0,4320219367.0
ALB,2016,1962117416.0,4669289913.0
ALB,2017,2301340965.67,5293901931.205
ALB,2018,2875859778.765,5941286949.487
ALB,2019,2719428708.042,5908003380.108
ALB,2020,2415632335.419,5410943446.851
ALB,2021,3562297235.872,7734905145.339
ALB,2022,4306234747.242,8407345270.407
ALB,2023,4374857212.456,8668927602.553
ALB,2024,4001154088.637,9604259002.105
AND,1995,47803140.0,1025480576.0
AND,1996,46242984.0,1061358400.0
AND,1997,48000384.0,1061291648.0
AND,1998,57858896.0,1064134784.0
AND,1999,42680600.0,1078680594.0
AND,2000,45329043.0,1011959615.0
