typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","8","ALB","Albania","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","126922468",,"126922468","0","true","false",
"C","A","20130101","2013","52","2013","8","ALB","Albania","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"49714630","49714630","0","true","false",
"C","A","20130101","2013","52","2013","12","DZA","Algeria","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","6257797668",,"6257797668","0","true","false",
"C","A","20130101","2013","52","2013","12","DZA","Algeria","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6786095496","6786095496","0","true","false",
"C","A","20130101","2013","52","2013","20","AND","Andorra","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","248275179.495",,"248275179.495","4","false","true",
"C","A","20130101","2013","52","2013","20","AND","Andorra","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"18413496.474","18413496.474","4","false","true",
"C","A","20130101","2013","52","2013","24","AGO","Angola","M","Import","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","712450729",,"712450729","0","true","false",
"C","A","20130101","2013","52","2013","24","AGO","Angola","X","Export","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1374449816","1374449816","0","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","M","Import","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5221600",,"5221600","0","true","false",
"C","A","20130101","2013","52","2013","28","ATG","Antigua and Barbuda","X","Export","251","FRA","France","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"904640","904640","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","425859013",,"425859013","0","true","false",
"C","A","20130101","2013","52","2013","31","AZE","Azerbaijan","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1131120401","1131120401","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1739789083",,"1739789083","0","true","false",
"C","A","20130101","2013","52","2013","32","ARG","Argentina","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"431227771","431227771","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"3843813258","3843813258","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1162597343","1162597343","0","true","false",
"C","A","20130101","2013","52","2013","40","AUT","Austria","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4871938641.338",,"4871938641.338","4","false","true",
"C","A","20130101","2013","52","2013","40","AUT","Austria","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"7544927595.478","7544927595.478","4","false","true",
"C","A","20130101","2013","52","2013","44","BHS","Bahamas","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","15848686",,"15848686","0","true","false",
"C","A","20130101","2013","52","2013","44","BHS","Bahamas","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"22274625","22274625","0","true","false",
"C","A","20130101","2013","52","2013","48","BHR","Bahrain","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","222442596",,"222442596","0","true","false",
"C","A","20130101","2013","52","2013","48","BHR","Bahrain","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"30668269","30668269","0","true","false",
"C","A","20130101","2013","52","2013","50","BGD","Bangladesh","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","199844093",,"199844093","0","true","false",
"C","A","20130101","2013","52","2013","50","BGD","Bangladesh","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1339544861","1339544861","0","true","false",
"C","A","20130101","2013","52","2013","51","ARM","Armenia","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","62604324",,"62604324","0","true","false",
"C","A","20130101","2013","52","2013","51","ARM","Armenia","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6429887","6429887","0","true","false",
"C","A","20130101","2013","52","2013","52","BRB","Barbados","M","Import","251","FRA","France","0","W00","World","H2","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","34577050",,"34577050","0","true","false",
"C","A","20130101","2013","52","2013","52","BRB","Barbados","X","Export","251","FRA","France","0","W00","World","H2","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6411397","6411397","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","38349908665.988","0","38349908665.988","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","50772479489.54","50772479489.54","4","false","true",
"C","A","20130101","2013","52","2013","60","BMU","Bermuda","M","Import","251","FRA","France","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5896057",,"5896057","0","true","false",
